date,ride_type,line,station,lat,lon,hour_05,hour_06,hour_07,hour_08,hour_09,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23
2022-01-03,하차,2호선,사당역,37.476536,126.981631,163,1031,1952.0,3134,1761,1454,1448,1379,1609,1416,1692,2551,4381,6126.0,4026,2539,2285,1840,936
2022-01-03,승차,2호선,삼성역,37.508827,127.063203,213,248,564.0,789,745,872,1388,1613,1912,2399,2941,4004,9217,11545.0,5668,4247,3399,1830,478
2022-01-03,하차,2호선,삼성역,37.508827,127.063203,249,1989,5757.0,13645,9274,4340,2467,2175,2718,2063,1970,1773,2153,2140.0,955,659,579,313,166
2022-01-03,승차,5호선,광화문역,37.570545,126.976568,56,140,364.0,529,424,603,685,1149,1391,1495,1983,2289,5140,8702.0,3045,2109,2170,979,395
2022-01-03,하차,5호선,광화문역,37.570545,126.976568,33,1269,3884.0,13441,5227,1674,1783,1180,1328,1163,882,1068,1057,1254.0,531,266,238,164,69
2022-01-03,승차,6호선,이태원역,37.534485,126.994369,215,221,314.0,404,293,327,283,329,387,368,515,990,1117,1161.0,856,684,654,574,397
2022-01-03,하차,6호선,이태원역,37.534485,126.994369,80,644,555.0,1142,1158,615,349,465,449,418,486,587,610,804.0,586,480,374,341,267
2022-01-04,승차,1호선,서울역,37.55315,126.972533,357,1100,3526.0,5771,3425,2518,2818,2888,3692,2785,3501,4161,7922,10082.0,4268,2812,2802,1620,788
2022-01-04,하차,1호선,서울역,37.55315,126.972533,350,1892,4600.0,10641,6298,2728,2599,2752,2676,2372,2765,2652,4131,5134.0,2974,1978,1948,1500,740
2022-01-04,승차,1호선,시청역,37.56359,126.975407,61,155,270.0,332,328,424,737,892,911,1248,1245,2156,3654,6954.0,2587,2066,1745,1193,341
2022-01-04,하차,1호선,시청역,37.56359,126.975407,222,1099,3619.0,9208,3849,1063,1415,1109,1199,725,693,595,696,726.0,312,280,169,163,69
2022-01-04,승차,2호선,강남역,37.497958,127.027539,262,630,1639.0,2321,2080,1726,2407,2731,3257,3570,4789,4898,10051,15063.0,9145,6741,7080,5214,2038
2022-01-04,하차,2호선,강남역,37.497958,127.027539,513,2202,6238.0,15149,13366,5642,3777,2871,3988,3220,3194,3226,4224,6108.0,3230,1701,1944,1091,527
2022-01-04,승차,2호선,사당역,37.476536,126.981631,550,1201,3283.0,4338,2797,1548,1529,1522,1593,1638,1865,1892,2778,4236.0,2282,2052,2625,2204,1026
2022-01-04,하차,2호선,사당역,37.476536,126.981631,155,1042,1699.0,3076,1897,1396,1407,1272,1409,1645,1710,2527,4594,6674.0,4776,2516,2505,1892,1039
2022-01-04,승차,2호선,삼성역,37.508827,127.063203,190,295,594.0,789,720,919,1272,1549,1748,2422,3194,4346,9256,12559.0,6498,4815,3708,2312,693
2022-01-04,하차,2호선,삼성역,37.508827,127.063203,270,2159,6505.0,14476,11708,4153,2565,2169,2587,1993,2044,1450,2111,2251.0,1233,655,490,373,162
2022-01-04,승차,5호선,광화문역,37.570545,126.976568,48,143,433.0,519,418,475,760,957,1244,1433,1689,2252,4247,9265.0,3115,2407,2201,1729,444
2022-01-04,하차,5호선,광화문역,37.570545,126.976568,36,1186,4262.0,11941,5504,1726,1506,1409,1376,1004,988,1053,1217,,650,290,249,164,86
2022-01-04,승차,6호선,이태원역,37.534485,126.994369,134,142,231.0,343,262,316,298,321,362,321,526,990,921,1329.0,929,671,615,653,371
2022-01-04,하차,6호선,이태원역,37.534485,126.994369,90,603,549.0,1301,1119,691,430,434,487,460,411,524,673,804.0,607,420,427,301,221
2022-01-05,승차,1호선,서울역,37.55315,126.972533,414,1095,3673.0,5801,3661,2535,2804,3131,3053,2801,3552,4751,6681,9212.0,4411,2761,2898,1959,874
2022-01-05,하차,1호선,서울역,37.55315,126.972533,301,1895,5015.0,10340,6323,2973,2431,2595,2586,2363,2815,3449,4185,5973.0,3044,2199,1778,1668,856
2022-01-05,승차,1호선,시청역,37.56359,126.975407,59,147,273.0,337,361,486,782,766,895,1094,1644,1864,4399,7900.0,2274,1764,1713,1040,322
2022-01-05,하차,1호선,시청역,37.56359,126.975407,224,1039,3096.0,9801,3863,1395,1292,1115,1219,777,757,766,764,729.0,377,255,242,124,101
2022-01-05,승차,2호선,강남역,37.497958,127.027539,250,679,1725.0,2669,1855,1629,2345,2777,3415,4107,4325,5668,10713,14676.0,9124,6705,6122,5839,2125
2022-01-05,하차,2호선,강남역,37.497958,127.027539,416,2579,7830.0,14672,14585,5752,3476,2927,3250,3217,2912,3528,4564,6628.0,3768,1908,1890,1188,606
2022-01-05,승차,2호선,사당역,37.476536,126.981631,480,1396,3250.0,4737,2898,1491,1286,1644,1573,1533,1636,1970,2566,3789.0,2407,1997,2622,2353,1080
2022-01-05,하차,2호선,사당역,37.476536,126.981631,141,1107,2015.0,2853,1791,1519,1688,1565,1459,1590,1856,2638,4655,6130.0,4291,2351,2560,2339,1221
2022-01-05,승차,2호선,삼성역,37.508827,127.063203,194,298,596.0,905,708,820,1224,1629,2042,2427,3284,4749,10580,13043.0,5779,4273,3764,2291,568
2022-01-05,하차,2호선,삼성역,37.508827,127.063203,211,2343,6447.0,14416,10675,4529,2799,2608,2760,2347,1736,1801,1960,2302.0,1246,655,507,393,208
2022-01-05,승차,5호선,광화문역,37.570545,126.976568,50,142,388.0,449,465,562,1293,1125,1302,1618,2045,2738,6190,10347.0,3756,2591,2218,1828,473
2022-01-05,하차,5호선,광화문역,37.570545,126.976568,39,1271,3754.0,12452,5639,2020,2016,1479,1743,1363,1142,1161,1345,1801.0,820,339,260,168,87
2022-01-05,승차,6호선,이태원역,37.534485,126.994369,119,140,251.0,298,321,261,266,282,360,424,553,858,1149,1291.0,733,750,720,674,468
2022-01-05,하차,6호선,이태원역,37.534485,126.994369,89,604,488.0,1164,1058,602,442,413,474,420,489,538,804,936.0,739,490,430,380,240
2022-01-06,승차,1호선,서울역,37.55315,126.972533,402,1154,3735.0,6131,3971,2704,2798,3270,3128,2648,3492,4841,7589,9450.0,4877,3526,3416,2044,976
2022-01-06,하차,1호선,서울역,37.55315,126.972533,324,1955,5212.0,10327,6581,2987,2576,2544,2463,2401,2997,3483,4271,5696.0,3755,2387,2478,1618,837
2022-01-06,승차,1호선,시청역,37.56359,126.975407,63,132,265.0,369,381,409,878,712,914,1094,1364,1802,3273,6717.0,2013,1993,1963,1298,398
2022-01-06,하차,1호선,시청역,37.56359,126.975407,192,1070,3690.0,9448,3663,1330,1423,1096,1146,872,786,761,814,817.0,381,276,273,157,93
2022-01-06,승차,2호선,강남역,37.497958,127.027539,236,663,1688.0,2441,1797,1765,2254,2769,4055,4039,4967,5496,10871,12587.0,8815,6381,7470,5830,2765
2022-01-06,하차,2호선,강남역,37.497958,127.027539,457,2253,6694.0,14664,13015,6157,3705,3663,3597,3018,3045,3213,4616,5926.0,3616,2108,1630,2014,604
2022-01-06,승차,2호선,사당역,37.476536,126.981631,545,1272,3269.0,4185,2833,1601,1439,1553,1679,1741,1999,2108,2498,4100.0,2115,2334,2192,2499,1447
2022-01-06,하차,2호선,사당역,37.476536,126.981631,145,1062,2026.0,3034,1811,1199,1723,1726,1511,1630,2058,2867,4682,7034.0,4644,2504,2387,2606,1264
2022-01-06,승차,2호선,삼성역,37.508827,127.063203,204,275,588.0,907,673,723,1326,1641,2061,2780,3573,5344,10205,12581.0,6987,4688,3874,2337,689
2022-01-06,하차,2호선,삼성역,37.508827,127.063203,214,1907,6628.0,14657,11089,4325,2932,2509,2148,2120,1999,1765,2272,2261.0,1240,619,489,396,259
2022-01-06,승차,5호선,광화문역,37.570545,126.976568,50,138,382.0,468,426,508,979,1095,1239,1549,1961,2551,4500,9078.0,3529,2235,2626,1912,619
2022-01-06,하차,5호선,광화문역,37.570545,126.976568,42,1246,3504.0,11678,5560,2098,1888,1431,1740,1411,1114,1214,1462,1954.0,979,397,242,226,92
2022-01-06,승차,6호선,이태원역,37.534485,126.994369,130,141,263.0,295,370,228,306,267,389,451,548,974,1085,1323.0,773,818,781,877,476
2022-01-06,하차,6호선,이태원역,37.534485,126.994369,92,646,530.0,1150,980,665,371,433,543,435,460,625,826,1021.0,727,606,453,424,464
2022-01-07,승차,1호선,서울역,37.55315,126.972533,374,1239,3535.0,5181,3419,2911,3127,3829,4218,3520,5100,5908,8298,10732.0,5265,3613,4555,3811,1890
2022-01-07,하차,1호선,서울역,37.55315,126.972533,297,1730,4612.0,9634,6776,3123,3130,3548,3684,3666,4252,4569,5469,6658.0,5055,3151,3139,2262,1240
2022-01-07,승차,1호선,시청역,37.56359,126.975407,63,148,251.0,349,462,555,861,761,1043,1272,1560,2204,4089,6697.0,1877,1647,1466,1106,430
2022-01-07,하차,1호선,시청역,37.56359,126.975407,184,1120,3357.0,8233,3892,1382,1553,1154,1300,892,807,857,1122,1059.0,479,315,337,226,122
2022-01-07,승차,2호선,강남역,37.497958,127.027539,287,655,1863.0,2292,1798,1646,2375,3213,3912,3748,5723,5926,9962,13983.0,9020,6513,7069,6627,3589
2022-01-07,하차,2호선,강남역,37.497958,127.027539,484,2507,6877.0,8869,12136,7430,3831,3303,4185,3549,3736,4247,6079,7728.0,5228,2377,1840,1823,976
2022-01-07,승차,2호선,사당역,37.476536,126.981631,541,1283,3771.0,4387,4137,1950,1461,1477,1707,1945,1945,2341,3176,3685.0,2478,2241,2614,3070,2038
2022-01-07,하차,2호선,사당역,37.476536,126.981631,166,1036,1655.0,3236,2942,1489,1605,2041,1427,1523,2336,3269,5308,8057.0,5582,2456,2467,2933,1865
2022-01-07,승차,2호선,삼성역,37.508827,127.063203,232,266,549.0,741,670,818,1440,1738,2395,3152,4523,5934,9319,10882.0,5464,3882,3594,2228,825
2022-01-07,하차,2호선,삼성역,37.508827,127.063203,246,2077,5227.0,9737,8548,6611,3616,2769,2790,2304,2198,2426,2362,2618.0,1700,653,543,537,345
2022-01-07,승차,5호선,광화문역,37.570545,126.976568,47,135,400.0,438,394,551,1082,1082,1506,1672,2495,3494,5371,8601.0,2647,2199,1983,2366,609
2022-01-07,하차,5호선,광화문역,37.570545,126.976568,41,1091,3481.0,12002,5174,2146,1747,1485,1789,1519,1218,1411,1761,1935.0,980,296,238,208,129
2022-01-07,승차,6호선,이태원역,37.534485,126.994369,164,158,256.0,307,274,280,291,319,518,566,683,983,1242,1418.0,917,786,1012,1018,822
2022-01-07,하차,6호선,이태원역,37.534485,126.994369,90,652,446.0,1142,986,630,569,722,656,483,569,877,1127,1550.0,1347,1196,1247,1296,1365
2022-01-08,승차,1호선,서울역,37.55315,126.972533,338,577,969.0,2646,3324,3844,4673,4107,4630,3808,4894,5383,4592,3660.0,2987,2404,2977,2441,1066
2022-01-08,하차,1호선,서울역,37.55315,126.972533,322,1665,1898.0,2499,3309,3405,3467,4420,3850,4058,3529,4052,4461,3134.0,3212,2596,2943,2937,1085
2022-01-08,승차,1호선,시청역,37.56359,126.975407,51,86,191.0,237,364,431,537,732,951,1129,1110,1386,1577,1195.0,991,1266,1059,823,220
2022-01-08,하차,1호선,시청역,37.56359,126.975407,106,504,529.0,845,1132,1159,1638,1348,1115,1321,1278,978,864,,328,277,290,291,179
2022-01-08,승차,2호선,강남역,37.497958,127.027539,331,543,519.0,895,1281,1936,2956,3555,3966,4034,5345,6481,5291,3883.0,2868,3827,4022,4455,2358
2022-01-08,하차,2호선,강남역,37.497958,127.027539,274,949,1267.0,3018,6391,4696,3617,3930,5314,4689,3571,3654,4342,3860.0,2600,2338,1774,1730,1029
2022-01-08,승차,2호선,사당역,37.476536,126.981631,361,609,812.0,1402,1824,1709,1734,2397,2188,2400,2649,2689,2637,2153.0,2224,2546,2902,2593,1399
2022-01-08,하차,2호선,사당역,37.476536,126.981631,120,1342,772.0,969,1436,1738,2883,2258,2341,2137,2953,3581,3962,3403.0,2345,2087,2150,2402,1730
2022-01-08,승차,2호선,삼성역,37.508827,127.063203,269,203,220.0,318,477,698,980,1710,2066,2560,3495,4587,4465,3951.0,3386,3273,3053,1898,329
2022-01-08,하차,2호선,삼성역,37.508827,127.063203,137,1207,914.0,1712,2969,3006,3613,3546,4037,3764,3039,2742,2461,1787.0,879,700,557,362,218
2022-01-08,승차,5호선,광화문역,37.570545,126.976568,46,79,142.0,193,317,342,617,886,1053,1355,1772,1830,2906,1641.0,1459,1715,1773,1072,302
2022-01-08,하차,5호선,광화문역,37.570545,126.976568,25,650,539.0,1007,1406,1650,2066,2198,2438,1531,1664,1334,1621,999.0,435,281,250,145,70
2022-01-08,승차,6호선,이태원역,37.534485,126.994369,840,491,262.0,227,248,239,347,396,453,558,767,1121,841,982.0,654,1033,1187,1259,991
2022-01-08,하차,6호선,이태원역,37.534485,126.994369,120,478,153.0,272,381,545,643,673,674,867,815,1047,1304,1454.0,1462,1559,1614,1672,1766
2022-01-09,승차,1호선,서울역,37.55315,126.972533,222,384,685.0,1359,1798,2704,3021,3580,3370,3250,3769,3561,3338,3120.0,2748,3041,2954,1996,865
2022-01-09,하차,1호선,서울역,37.55315,126.972533,173,704,975.0,1901,2449,2566,2509,3116,3356,2953,3649,3329,3252,3273.0,2626,2498,2091,1257,591
2022-01-09,승차,1호선,시청역,37.56359,126.975407,37,85,137.0,208,326,396,354,504,1363,924,893,996,940,960.0,643,683,528,453,128
2022-01-09,하차,1호선,시청역,37.56359,126.975407,62,301,463.0,728,1149,1331,967,784,942,671,523,521,498,289.0,279,258,189,189,90
2022-01-09,승차,2호선,강남역,37.497958,127.027539,282,401,417.0,626,851,906,1276,1795,2140,2656,2475,2961,3075,2790.0,2581,2735,2861,2682,925
2022-01-09,하차,2호선,강남역,37.497958,127.027539,114,474,686.0,1069,2450,2038,2003,2798,2854,2713,2233,2464,2485,2161.0,1374,1504,1491,862,545
2022-01-09,승차,2호선,사당역,37.476536,126.981631,251,321,496.0,829,1317,1266,1389,1610,1633,1740,1652,1565,1778,1728.0,1524,1748,1665,1353,624
2022-01-09,하차,2호선,사당역,37.476536,126.981631,73,903,589.0,703,901,1306,1552,1667,1706,1601,1894,2197,2416,2396.0,1726,1744,1624,1401,891
2022-01-09,승차,2호선,삼성역,37.508827,127.063203,204,127,211.0,201,318,606,757,1444,1879,2181,2770,3255,2669,2960.0,2256,2764,1986,1287,253
2022-01-09,하차,2호선,삼성역,37.508827,127.063203,93,635,736.0,1712,2232,2670,3073,2961,2964,2526,2170,1819,1637,1178.0,530,569,442,276,119
2022-01-09,승차,5호선,광화문역,37.570545,126.976568,28,54,80.0,171,201,292,404,722,1520,1319,1238,1387,1773,1186.0,895,948,897,1141,177
2022-01-09,하차,5호선,광화문역,37.570545,126.976568,7,327,360.0,1000,1151,1860,1478,1573,1773,1202,1003,900,851,701.0,291,193,194,90,78
2022-01-09,승차,6호선,이태원역,37.534485,126.994369,1126,823,338.0,276,253,316,320,317,470,474,484,542,592,673.0,638,671,901,700,343
2022-01-09,하차,6호선,이태원역,37.534485,126.994369,54,153,147.0,155,240,386,389,518,644,660,684,618,698,759.0,619,544,401,410,438
2022-01-10,승차,1호선,서울역,37.55315,126.972533,384,1105,4339.0,6777,3306,2520,2757,3156,3048,2409,3666,3810,7149,9598.0,3848,2868,2727,1682,859
2022-01-10,하차,1호선,서울역,37.55315,126.972533,370,2378,5334.0,10709,5986,3134,2770,2618,2474,2413,2502,2858,4238,5788.0,3497,2073,1778,1190,505
2022-01-10,승차,1호선,시청역,37.56359,126.975407,65,132,249.0,316,477,517,647,697,740,957,1239,1644,3358,6558.0,2113,1873,1586,831,323
2022-01-10,하차,1호선,시청역,37.56359,126.975407,177,1072,3340.0,8972,3196,1307,1271,1026,915,669,580,587,646,581.0,355,233,256,159,69
2022-01-10,승차,2호선,강남역,37.497958,127.027539,200,651,1626.0,2562,1804,1746,2393,3050,3657,3883,4604,4851,9438,13704.0,9092,6588,6382,5044,1933
2022-01-10,하차,2호선,강남역,37.497958,127.027539,509,2184,7401.0,14352,15098,5583,3005,2999,3592,3003,3010,3163,3806,6323.0,3253,1789,1317,946,502
2022-01-10,승차,2호선,사당역,37.476536,126.981631,426,1097,3553.0,3896,3164,1423,1371,1397,1784,1392,1666,1940,2550,3962.0,2363,1957,2255,1838,936
2022-01-10,하차,2호선,사당역,37.476536,126.981631,149,1086,2147.0,2779,1653,1272,1717,1442,1310,1495,2137,2507,3884,5652.0,3637,2332,2060,1768,904
2022-01-10,승차,2호선,삼성역,37.508827,127.063203,229,239,575.0,724,841,846,1289,1620,1862,2686,3405,3615,7899,13855.0,7105,4575,3226,2185,562
2022-01-10,하차,2호선,삼성역,37.508827,127.063203,231,2319,5888.0,13474,9312,4209,2090,2232,2422,2094,1778,1580,2005,1798.0,1156,661,471,387,164
2022-01-10,승차,5호선,광화문역,37.570545,126.976568,37,139,376.0,483,460,606,839,1078,1073,1483,1709,2754,4927,9367.0,3122,2325,1951,1124,355
2022-01-10,하차,5호선,광화문역,37.570545,126.976568,42,1381,3709.0,12473,4424,1810,1525,1322,1335,1100,767,825,886,1173.0,512,286,195,140,59
2022-01-10,승차,6호선,이태원역,37.534485,126.994369,234,182,289.0,383,316,297,330,323,351,422,578,945,975,1244.0,828,644,524,547,278
2022-01-10,하차,6호선,이태원역,37.534485,126.994369,79,563,525.0,1186,1014,550,392,342,451,482,448,524,564,731.0,544,333,335,267,148
2022-01-11,승차,1호선,서울역,37.55315,126.972533,404,1040,,5256,3308,2874,2770,3438,2878,2933,3378,4437,8222,9249.0,4408,3112,2786,1911,990
2022-01-11,하차,1호선,서울역,37.55315,126.972533,328,2162,4519.0,10350,6398,2992,2850,2869,2507,2455,2766,3083,4137,6149.0,3539,2321,1871,1320,719
2022-01-11,승차,1호선,시청역,37.56359,126.975407,79,138,274.0,332,414,525,869,703,831,1205,1578,1997,3687,7564.0,2279,2178,1765,992,355
2022-01-11,하차,1호선,시청역,37.56359,126.975407,224,1117,3718.0,9075,3683,1534,1227,905,974,797,789,631,802,759.0,530,308,214,185,118
2022-01-11,승차,2호선,강남역,37.497958,127.027539,203,568,1858.0,2820,1870,1729,2312,2955,3588,3690,4709,5464,10626,14590.0,9664,7109,6787,6054,2360
2022-01-11,하차,2호선,강남역,37.497958,127.027539,507,2399,7367.0,13676,15966,6393,3326,3320,3368,2865,2695,3435,4915,6707.0,3255,1729,1704,1133,538
2022-01-11,승차,2호선,사당역,37.476536,126.981631,495,1263,3695.0,4543,2746,1479,1399,1488,1424,1645,1682,1865,2847,3456.0,2172,1979,2498,2084,936
2022-01-11,하차,2호선,사당역,37.476536,126.981631,145,1079,1893.0,3019,1748,1420,1754,1644,1464,1439,1758,2361,4728,6502.0,4784,2373,2233,2199,929
2022-01-11,승차,2호선,삼성역,37.508827,127.063203,247,312,560.0,740,877,864,1351,1684,2149,2545,3532,4393,10109,13878.0,6168,4660,3779,2358,491
2022-01-11,하차,2호선,삼성역,37.508827,127.063203,269,2218,6898.0,15256,10080,4750,2791,2383,2552,1871,1865,1993,2163,2140.0,1338,679,543,336,167
2022-01-11,승차,5호선,광화문역,37.570545,126.976568,48,126,336.0,505,436,560,833,906,1117,1256,1910,2309,4638,8813.0,3131,2168,2096,1670,462
2022-01-11,하차,5호선,광화문역,37.570545,126.976568,42,1321,3882.0,12288,5912,1703,1662,1345,1390,853,1070,859,1493,1676.0,929,297,252,179,61
2022-01-11,승차,6호선,이태원역,37.534485,126.994369,120,151,256.0,329,377,272,317,324,429,455,515,938,938,1288.0,872,665,700,682,365
2022-01-11,하차,6호선,이태원역,37.534485,126.994369,80,585,520.0,1151,921,603,403,487,466,406,401,579,674,868.0,599,503,363,293,232
2022-01-12,승차,1호선,서울역,37.55315,126.972533,400,1157,3751.0,5544,4094,2723,2673,3322,3199,2747,3746,4390,7648,9263.0,4530,3154,2789,1780,678
2022-01-12,하차,1호선,서울역,37.55315,126.972533,294,1951,5099.0,11044,6547,3131,2678,2990,2871,2198,2439,2893,4396,5646.0,3454,1908,1803,1562,789
2022-01-12,승차,1호선,시청역,37.56359,126.975407,65,138,271.0,328,458,553,809,669,847,1058,1387,1961,4048,6428.0,2099,1799,1516,1189,415
2022-01-12,하차,1호선,시청역,37.56359,126.975407,278,1085,3177.0,9021,3282,1529,1124,1117,932,702,665,796,734,801.0,428,197,274,165,114
2022-01-12,승차,2호선,강남역,37.497958,127.027539,221,668,1754.0,2304,1839,1770,2447,2789,3574,3762,4344,4575,8841,12751.0,8483,6707,8272,5977,2476
2022-01-12,하차,2호선,강남역,37.497958,127.027539,277,2274,,13218,13419,5647,3148,3356,3751,2841,2961,3300,4445,6924.0,3385,1839,1484,1327,618
2022-01-12,승차,2호선,사당역,37.476536,126.981631,484,1221,3399.0,4362,2913,1458,1450,1607,1558,1548,1683,1940,3006,3691.0,2321,2275,2408,2265,1186
2022-01-12,하차,2호선,사당역,37.476536,126.981631,156,1043,2066.0,3032,1679,1438,1327,1428,1445,1465,1640,2629,4059,7041.0,4325,2524,2448,2275,1430
2022-01-12,승차,2호선,삼성역,37.508827,127.063203,231,254,566.0,655,784,700,1181,1621,1843,2580,3453,4245,8723,12688.0,5640,4544,3656,2325,579
2022-01-12,하차,2호선,삼성역,37.508827,127.063203,267,1990,5414.0,14126,10748,4435,2978,2611,2628,1867,1908,1980,2214,2511.0,1363,549,624,422,230
2022-01-12,승차,5호선,광화문역,37.570545,126.976568,40,118,378.0,511,432,511,775,1024,1374,1432,1830,2628,5219,9973.0,2913,2468,2143,1776,665
2022-01-12,하차,5호선,광화문역,37.570545,126.976568,40,1208,3922.0,13762,5056,2167,1751,1459,1669,1143,953,1095,1408,1894.0,817,284,273,208,95
2022-01-12,승차,6호선,이태원역,37.534485,126.994369,111,114,241.0,322,291,251,311,308,337,432,494,900,891,1283.0,738,674,692,641,444
