,CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt
28,806777086,Existing Customer,46,M,4,College,Unknown,$120K +,Blue,51,5,0,1,8255.1,1292,8462.8,2.789,11241
29,762250665,Existing Customer,59,M,4,Unknown,Married,Unknown,Blue,55,3,3,1,16810.9,1856,19817.8,1.285,16818
30,881009883,Existing Customer,29,M,5,Graduate,Unknown,Less than $40K,Blue,47,4,5,3,3653.8,399,12779.2,2.015,18078
31,855716283,Existing Customer,50,F,3,Doctorate,Single,Less than $40K,Blue,50,6,0,3,18156.7,1526,13524.5,0.344,15153
32,894438926,Existing Customer,40,M,1,Unknown,Single,Unknown,Blue,20,4,4,0,1591.8,2024,6393.8,0.677,4444
33,779757501,Existing Customer,29,F,3,Unknown,Divorced,$60K - $80K,Silver,49,1,1,1,11985.7,2133,3873.0,3.036,11919
34,820716221,Existing Customer,70,F,1,Unknown,Unknown,$40K - $60K,Blue,39,4,3,0,23076.0,319,19586.1,2.109,8682
35,851079598,Existing Customer,37,M,3,Doctorate,Married,$60K - $80K,Silver,40,3,0,6,10002.8,1055,4460.9,3.236,1287
36,752286002,Existing Customer,57,F,4,Graduate,Unknown,Unknown,Blue,52,1,6,0,6062.7,335,5917.8,3.396,16415
37,732049003,Attrited Customer,57,M,4,Unknown,Unknown,$40K - $60K,Blue,46,2,2,4,1805.4,2098,4635.6,1.327,2928
38,761136438,Existing Customer,53,F,0,Unknown,Married,$80K - $120K,Blue,44,4,2,5,21655.2,173,6323.9,1.086,12964
39,896412659,Attrited Customer,38,F,2,Uneducated,Unknown,$60K - $80K,Blue,27,4,3,6,6521.5,1641,4950.8,2.933,2949
40,828482111,Existing Customer,56,M,5,College,Married,$60K - $80K,Blue,29,6,2,2,1673.4,500,844.1,3.395,8314
41,825683192,Existing Customer,39,M,3,Doctorate,Married,Unknown,Blue,45,1,6,1,10802.8,2123,15462.4,2.178,13533
42,899502978,Attrited Customer,45,M,5,Doctorate,Unknown,$120K +,Silver,28,5,0,3,6697.7,2363,4613.9,2.724,15336
43,893466162,Existing Customer,43,M,0,Post-Graduate,Unknown,Unknown,Blue,41,4,0,6,2500.3,1856,6723.2,2.68,13722
44,895524628,Existing Customer,54,M,2,Doctorate,Single,$60K - $80K,Blue,21,3,2,3,3367.2,1896,1549.2,1.273,2499
45,755831368,Existing Customer,31,F,3,Graduate,Single,$40K - $60K,Blue,45,4,2,2,1971.3,1663,523.8,1.995,8378
46,710959014,Existing Customer,57,F,1,Doctorate,Divorced,$120K +,Blue,41,6,4,6,8270.0,1718,2470.0,2.849,9768
47,756972561,Attrited Customer,54,F,2,Uneducated,Divorced,Unknown,Blue,25,2,1,1,9221.5,1778,9035.6,2.371,1454
48,748900483,Existing Customer,68,F,4,College,Unknown,Unknown,Blue,33,6,3,6,7075.6,696,1231.3,0.17,5660
49,720193880,Existing Customer,27,F,0,College,Married,$60K - $80K,Blue,33,4,0,3,15028.6,731,17269.6,1.211,11516
50,820826171,Existing Customer,48,F,2,Doctorate,Divorced,$60K - $80K,Blue,17,5,3,3,17224.8,1094,2194.7,0.577,11190
51,703385357,Existing Customer,44,F,2,Unknown,Unknown,$80K - $120K,Blue,22,4,4,4,9087.1,651,2102.3,0.869,15714
52,744738553,Existing Customer,56,M,4,High School,Divorced,Unknown,Blue,18,1,0,0,1540.7,1094,1902.0,3.088,2175
53,768574553,Existing Customer,30,M,3,High School,Married,$60K - $80K,Blue,25,4,4,6,10943.6,45,598.6,0.222,13321
54,851063092,Existing Customer,44,F,1,Unknown,Unknown,Less than $40K,Blue,13,5,4,3,5768.3,1070,10842.9,0.825,9461
55,886375041,Existing Customer,59,F,4,Unknown,Married,$120K +,Blue,32,1,5,5,8107.5,1445,15058.0,1.122,10859
56,711392366,Existing Customer,35,M,1,Unknown,Unknown,Less than $40K,Blue,20,3,2,1,9815.6,2196,7166.4,2.136,10053
57,788883975,Attrited Customer,50,M,3,Graduate,Divorced,$120K +,Blue,22,1,6,5,4887.2,455,1959.5,1.863,9970
58,847697582,Existing Customer,27,M,2,High School,Single,Unknown,Blue,21,6,5,2,21358.8,1662,2851.0,0.82,2295
59,847405005,Existing Customer,36,M,1,Unknown,Divorced,$80K - $120K,Blue,53,2,3,6,2588.7,965,5022.9,0.642,6458
60,768979792,Existing Customer,56,F,0,Graduate,Divorced,$60K - $80K,Blue,15,6,6,4,10344.0,2020,22106.6,0.881,15008
61,737709731,Existing Customer,40,M,0,Post-Graduate,Single,$60K - $80K,Blue,23,1,3,1,1473.0,868,2489.1,1.758,3140
62,861156967,Existing Customer,34,F,4,Graduate,Single,$60K - $80K,Silver,24,3,2,4,22123.0,1528,9708.1,0.995,8170
63,723027075,Existing Customer,48,F,3,High School,Unknown,Unknown,Blue,22,4,6,0,2392.8,1000,4551.8,3.227,748
64,786191493,Existing Customer,44,F,4,Doctorate,Unknown,$120K +,Blue,37,1,5,3,2235.5,773,2975.2,1.631,14401
65,787796277,Existing Customer,34,M,4,Post-Graduate,Married,$60K - $80K,Blue,37,6,3,1,4677.8,2291,4760.6,0.294,9848
66,722335235,Existing Customer,60,M,5,High School,Married,Less than $40K,Silver,23,1,5,2,5179.7,2429,1017.1,2.507,10259
67,834489564,Attrited Customer,46,F,4,Graduate,Divorced,$60K - $80K,Blue,48,1,2,6,3367.4,1126,11720.3,1.185,10859
68,837802430,Existing Customer,34,F,5,Uneducated,Single,Unknown,Blue,51,1,6,0,8476.2,1060,2451.5,2.257,14092
69,827924625,Existing Customer,53,F,0,College,Married,$80K - $120K,Blue,38,3,6,0,6118.3,1677,9547.4,1.023,12153
70,807944665,Attrited Customer,71,M,0,High School,Divorced,Less than $40K,Blue,26,5,0,4,1716.2,1543,995.6,1.983,12755
71,752631083,Existing Customer,32,F,4,Unknown,Single,$60K - $80K,Blue,51,5,4,0,4519.2,396,22223.0,2.648,8409
72,708585377,Existing Customer,41,M,0,Graduate,Unknown,$60K - $80K,Blue,52,1,4,1,14742.1,2343,2001.2,3.162,7655
73,786544585,Attrited Customer,41,F,3,Unknown,Divorced,$40K - $60K,Blue,13,3,5,4,10799.8,106,15503.7,0.962,6371
74,785157821,Existing Customer,58,F,5,Unknown,Unknown,$120K +,Silver,16,3,6,0,11762.1,953,12105.7,1.205,13561
75,852041741,Existing Customer,29,F,5,Unknown,Married,Less than $40K,Blue,42,1,3,6,11019.7,1848,24563.6,1.632,17142
76,870819422,Existing Customer,29,M,4,Unknown,Married,$40K - $60K,Blue,24,6,5,2,4417.8,933,5049.1,3.16,12831
77,760304654,Existing Customer,64,M,0,Unknown,Single,$80K - $120K,Blue,47,6,5,6,2277.9,287,9598.2,3.075,4833
78,811636935,Existing Customer,65,F,1,Post-Graduate,Divorced,$120K +,Blue,25,2,1,5,3982.8,705,3742.1,0.397,3370
79,734119117,Existing Customer,42,M,5,High School,Unknown,Less than $40K,Blue,43,1,6,1,15698.1,2043,1926.5,0.535,17617
80,736433622,Attrited Customer,62,F,4,High School,Single,$60K - $80K,Blue,50,2,4,2,32924.8,1484,4597.3,1.735,15429
81,789482491,Existing Customer,64,M,4,College,Married,Less than $40K,Blue,55,6,6,2,6885.3,214,1768.5,0.452,1079
82,894249720,Existing Customer,54,M,3,Graduate,Married,$60K - $80K,Blue,35,6,2,4,1516.0,1304,28639.1,1.24,8921
83,801670589,Existing Customer,61,M,2,Uneducated,Divorced,$120K +,Blue,16,1,5,3,2645.0,1977,1208.4,0.59,10096
84,755105831,Existing Customer,63,F,2,Post-Graduate,Unknown,$60K - $80K,Blue,28,2,1,4,4547.8,1482,6727.7,2.199,2632
85,837584340,Existing Customer,64,M,5,Graduate,Divorced,$80K - $120K,Blue,19,2,1,1,8351.1,1824,7393.2,3.233,14919
86,758743503,Existing Customer,62,M,3,Post-Graduate,Unknown,Unknown,Blue,34,1,4,1,2062.5,343,5906.5,3.389,3599
87,791693393,Existing Customer,60,F,3,High School,Unknown,$60K - $80K,Blue,41,2,4,4,24405.9,193,8096.8,1.338,14752
88,870476398,Existing Customer,32,F,3,Unknown,Divorced,$80K - $120K,Blue,23,4,4,3,5072.1,157,1364.5,2.077,7720
89,769739572,Attrited Customer,52,F,5,College,Single,Unknown,Blue,45,6,2,6,20934.6,464,6168.1,2.926,16943
90,804157975,Existing Customer,53,F,2,College,Divorced,$120K +,Blue,41,5,1,4,13570.0,2151,2870.0,0.488,1024
91,890066585,Existing Customer,47,M,3,Doctorate,Divorced,$120K +,Blue,51,3,3,1,12704.3,2081,20214.4,2.376,11493
92,819208152,Existing Customer,39,M,0,Uneducated,Married,Less than $40K,Blue,24,2,2,3,8903.9,1749,10550.5,1.449,11480
93,832862715,Attrited Customer,32,M,4,College,Married,$80K - $120K,Blue,19,2,0,1,9322.8,2372,25658.7,0.78,11320
94,891273147,Existing Customer,62,M,4,Unknown,Divorced,$80K - $120K,Blue,51,3,5,3,9567.0,591,768.0,1.429,10539
95,883378299,Existing Customer,47,M,1,High School,Divorced,$40K - $60K,Blue,54,2,4,3,9364.4,2188,2849.6,0.351,5181
96,811665644,Existing Customer,30,F,1,Uneducated,Married,$40K - $60K,Blue,38,3,1,4,7892.6,1054,2022.1,2.395,18059
97,768394024,Existing Customer,27,M,5,Graduate,Unknown,Unknown,Blue,52,1,5,4,35827.7,883,578.5,0.934,10951
98,898743196,Existing Customer,52,M,5,Unknown,Divorced,Unknown,Blue,21,4,6,4,11980.8,62,2442.5,1.128,924
99,872945196,Existing Customer,46,M,4,Unknown,Single,$40K - $60K,Blue,53,4,2,3,13440.7,1110,8449.3,0.5,15603
100,751757120,Existing Customer,63,F,0,College,Single,Unknown,Blue,46,6,0,3,17912.8,303,2339.5,2.953,17998
101,767157848,Existing Customer,40,F,2,Uneducated,Single,$60K - $80K,Blue,25,5,6,1,3381.1,1084,5479.2,1.728,2926
102,795540567,Existing Customer,46,M,2,High School,Divorced,$40K - $60K,Blue,48,2,2,2,2138.2,395,15813.4,1.988,6121
103,785390464,Existing Customer,35,F,5,Doctorate,Unknown,$80K - $120K,Blue,37,5,2,4,6714.1,333,8783.7,1.979,15741
104,748170987,Existing Customer,48,F,0,Post-Graduate,Unknown,$60K - $80K,Blue,36,1,3,5,7211.7,410,4013.4,1.455,8905
105,886780295,Existing Customer,64,F,5,Post-Graduate,Married,Unknown,Blue,29,4,5,1,15575.2,2331,3761.7,0.735,8770
106,723717335,Existing Customer,30,F,2,High School,Divorced,$120K +,Blue,14,1,3,1,6130.8,465,4758.2,2.559,13158
107,760472382,Attrited Customer,26,F,5,High School,Unknown,Less than $40K,Blue,25,1,2,0,8205.6,79,1863.9,0.519,13852
108,712719242,Existing Customer,38,F,3,Post-Graduate,Divorced,$40K - $60K,Blue,43,2,0,4,7428.5,1100,7535.9,0.443,14720
109,748715250,Existing Customer,46,F,5,Doctorate,Married,$120K +,Blue,41,1,1,6,1749.6,1977,3669.6,2.443,7343
110,783139152,Existing Customer,51,M,4,Uneducated,Married,Unknown,Blue,40,4,1,1,9078.6,732,13891.1,0.789,5262
111,802400391,Attrited Customer,70,M,5,Post-Graduate,Married,$80K - $120K,Blue,39,5,6,0,15522.1,1817,10390.0,1.112,12488
112,878271906,Existing Customer,46,F,4,High School,Single,Less than $40K,Blue,27,4,5,5,2809.1,1563,7100.5,1.668,9237
113,872552610,Existing Customer,43,M,0,College,Divorced,$120K +,Blue,43,2,4,5,8655.8,1384,3670.1,1.583,5533
114,791355424,Existing Customer,62,M,2,Graduate,Married,Less than $40K,Blue,52,4,4,6,8641.5,2124,2149.5,2.438,1492
115,886659194,Existing Customer,70,F,1,Doctorate,Divorced,$40K - $60K,Blue,27,3,1,4,2872.8,1187,10977.5,2.157,14815
116,749583876,Existing Customer,57,M,1,Unknown,Single,Unknown,Blue,45,5,2,3,2492.2,1198,5164.3,2.227,16656
117,897421286,Attrited Customer,61,F,2,Doctorate,Single,$80K - $120K,Blue,32,3,2,0,32755.0,2509,2282.0,2.456,18239
118,811999993,Attrited Customer,42,F,1,College,Married,Unknown,Blue,54,3,3,3,5441.3,1611,2019.9,1.066,11711
119,871625499,Existing Customer,60,F,5,College,Married,Less than $40K,Blue,24,6,5,5,3502.2,2292,1765.6,1.164,17420
120,861226952,Existing Customer,36,M,0,Unknown,Unknown,$120K +,Blue,49,2,3,5,2941.4,121,11009.1,1.545,17824
121,751327755,Attrited Customer,46,M,0,High School,Divorced,$40K - $60K,Blue,21,1,4,2,10249.4,184,2320.4,1.115,15875
122,779018913,Existing Customer,51,M,2,Post-Graduate,Married,$40K - $60K,Blue,35,3,1,2,8959.5,31,5735.3,3.35,11243
123,841347872,Existing Customer,29,M,1,Uneducated,Unknown,Unknown,Blue,20,4,6,6,9690.5,997,4704.6,2.786,10618
124,704545583,Existing Customer,59,F,5,Doctorate,Divorced,$120K +,Blue,44,1,2,2,2175.0,1986,6566.0,0.643,3870
125,888296765,Existing Customer,73,F,0,Unknown,Married,$120K +,Blue,26,4,1,2,19357.5,568,15177.8,0.118,10295
126,754474455,Existing Customer,43,M,0,Doctorate,Unknown,Less than $40K,Blue,39,4,0,6,5382.8,2357,14661.3,0.241,8622
127,875760164,Existing Customer,65,F,3,College,Unknown,Unknown,Blue,37,1,1,1,4445.7,1395,4698.6,0.905,16526
128,880844642,Attrited Customer,60,F,3,Post-Graduate,Divorced,Unknown,Blue,25,1,0,2,6402.6,1679,608.4,0.477,4135
129,823685547,Attrited Customer,66,M,0,Doctorate,Unknown,$60K - $80K,Blue,33,4,3,1,5393.2,829,4391.3,1.86,5979
130,753933927,Existing Customer,54,F,2,Uneducated,Divorced,Unknown,Blue,43,2,3,1,17374.0,1619,7023.3,2.931,1733
131,806179285,Existing Customer,54,M,4,College,Divorced,$40K - $60K,Blue,49,5,4,4,22628.1,1079,6211.4,2.531,7620
132,752453338,Attrited Customer,63,F,4,Uneducated,Divorced,Less than $40K,Blue,55,6,1,1,4331.0,790,7875.5,0.812,9667
133,849099456,Existing Customer,67,M,5,Post-Graduate,Single,$120K +,Blue,17,5,1,1,17395.0,2511,1671.3,1.418,13761
134,734045666,Existing Customer,46,F,0,Doctorate,Unknown,Unknown,Blue,25,2,0,2,13606.6,993,7779.8,1.776,5502
135,846939822,Attrited Customer,67,F,0,Graduate,Divorced,Less than $40K,Blue,40,6,3,1,22804.9,77,1911.8,2.774,14156
136,810573005,Attrited Customer,38,M,0,Doctorate,Married,Unknown,Blue,55,1,0,3,3694.3,107,10218.7,2.869,12380
137,856396162,Existing Customer,66,M,2,Post-Graduate,Single,$120K +,Blue,37,6,3,6,8320.3,1296,3398.9,3.102,5297
138,746321408,Existing Customer,42,M,3,Doctorate,Single,$80K - $120K,Blue,47,4,0,2,4005.6,2062,9162.6,1.781,11650
139,847014660,Existing Customer,34,M,0,Unknown,Unknown,$120K +,Blue,51,5,3,6,15340.5,369,843.3,2.391,3809
140,790053374,Existing Customer,66,F,0,Doctorate,Divorced,$120K +,Silver,19,6,0,0,1480.7,2252,4168.1,0.469,9870
141,726063245,Existing Customer,26,F,1,High School,Unknown,$120K +,Blue,50,4,6,2,8093.9,2004,9046.3,1.965,6961
142,873660954,Existing Customer,27,M,2,Doctorate,Single,Unknown,Blue,44,2,3,1,4752.5,1703,2301.2,0.921,13451
143,797636744,Existing Customer,73,F,5,Doctorate,Divorced,$60K - $80K,Blue,15,6,5,3,4554.9,440,11603.0,1.525,16503
144,799483854,Existing Customer,54,M,0,Uneducated,Married,$120K +,Blue,51,4,0,6,9721.0,226,7474.5,2.192,15130
145,809174313,Existing Customer,58,M,1,Graduate,Divorced,$40K - $60K,Blue,49,2,1,2,16694.5,2401,6699.7,0.948,13594
146,707887739,Existing Customer,35,F,4,Uneducated,Single,$40K - $60K,Blue,34,1,4,3,8954.4,622,3553.8,0.272,5537
147,894954700,Attrited Customer,65,F,5,Uneducated,Married,Less than $40K,Blue,20,2,5,6,16786.0,1024,5110.6,0.134,4770
148,761071026,Existing Customer,46,M,0,College,Divorced,$60K - $80K,Blue,29,2,5,0,3896.7,1576,6867.8,0.173,5338
149,834987326,Existing Customer,53,M,0,High School,Married,Less than $40K,Blue,39,5,0,5,7301.5,1643,4976.7,0.128,9282
150,789178975,Existing Customer,36,M,1,Uneducated,Married,$40K - $60K,Blue,45,4,4,0,6228.5,1184,8888.6,0.464,9522
151,749007334,Existing Customer,59,F,2,Unknown,Single,$40K - $60K,Blue,29,6,1,5,1531.7,160,4480.4,0.89,8825
152,862651376,Existing Customer,33,F,0,Post-Graduate,Married,$80K - $120K,Blue,54,5,5,4,7948.1,870,2081.9,0.83,14769
153,707971379,Existing Customer,47,F,4,Unknown,Unknown,$120K +,Blue,24,3,1,5,10104.4,1745,2185.0,3.356,13141
154,703331068,Existing Customer,33,F,0,Post-Graduate,Single,$40K - $60K,Blue,39,2,3,4,8608.2,1174,540.7,1.11,3633
155,736810847,Existing Customer,40,M,4,Doctorate,Unknown,Unknown,Blue,20,3,6,2,12100.9,443,3006.3,0.52,4734
156,734428803,Existing Customer,42,M,5,College,Married,Unknown,Gold,35,5,4,4,8214.7,1790,10173.8,1.9,11487
157,839871965,Existing Customer,48,M,5,High School,Unknown,Less than $40K,Blue,54,4,6,3,1990.7,1494,11564.7,2.931,15118
158,761553124,Attrited Customer,49,M,3,Unknown,Divorced,Less than $40K,Blue,41,5,2,4,2428.4,462,2083.6,2.338,1720
159,880033766,Existing Customer,70,M,3,High School,Married,$120K +,Blue,32,4,3,3,8698.1,472,22866.8,1.077,9728
160,851968492,Existing Customer,44,M,4,Unknown,Divorced,$120K +,Blue,28,4,4,6,4010.4,79,5385.8,1.953,12963
161,871116174,Existing Customer,30,F,2,Doctorate,Unknown,$80K - $120K,Blue,29,1,0,6,2102.0,1062,17920.6,2.459,5939
162,723841962,Existing Customer,57,F,0,Post-Graduate,Divorced,$60K - $80K,Blue,28,2,6,5,5929.4,239,9087.5,2.503,15720
163,766834972,Existing Customer,69,M,0,Graduate,Married,Less than $40K,Silver,31,5,0,5,7903.3,556,9471.9,2.3,9199
164,877374243,Existing Customer,26,M,3,College,Divorced,$120K +,Blue,20,4,1,5,4626.9,589,1122.2,2.974,13231
165,722993420,Attrited Customer,48,F,4,Unknown,Unknown,Less than $40K,Blue,50,5,5,4,11634.1,1360,2239.1,2.971,10395
166,762190751,Existing Customer,62,F,0,Unknown,Unknown,$120K +,Blue,50,5,6,5,9695.4,1884,562.0,2.01,8692
167,856188486,Existing Customer,33,F,0,Doctorate,Unknown,$40K - $60K,Blue,41,4,2,4,4675.5,1975,9314.6,1.519,9426
168,870731194,Existing Customer,38,F,2,College,Married,Less than $40K,Blue,53,6,0,4,12685.8,1303,3455.8,2.217,885
169,731288562,Attrited Customer,33,M,1,Post-Graduate,Unknown,$40K - $60K,Blue,48,3,4,1,9806.8,1139,11313.8,2.8,5522
170,855569237,Existing Customer,48,M,3,Post-Graduate,Married,Less than $40K,Blue,38,2,6,1,9554.6,2316,3397.3,0.119,17150
171,723484187,Existing Customer,68,M,3,Unknown,Divorced,$60K - $80K,Blue,43,2,6,4,7887.2,1939,12477.7,3.374,560
172,895995197,Existing Customer,26,M,1,Graduate,Unknown,$80K - $120K,Blue,24,6,5,6,1529.6,334,1480.5,0.704,7100
173,736093880,Existing Customer,70,M,0,Graduate,Divorced,Unknown,Blue,29,1,5,3,10977.2,311,1832.8,1.652,7947
174,884658932,Existing Customer,49,F,2,High School,Single,Unknown,Blue,27,6,4,2,5211.4,1076,3417.9,2.978,15672
175,781752859,Attrited Customer,60,M,2,College,Divorced,Unknown,Blue,21,1,5,0,24301.0,33,4175.5,0.843,17488
176,832888171,Existing Customer,49,F,3,College,Single,$40K - $60K,Blue,51,1,0,1,15067.3,1841,3501.5,1.673,13615
177,878283859,Existing Customer,42,M,2,Post-Graduate,Divorced,$120K +,Blue,54,6,4,4,8525.9,385,10597.0,0.538,5241
178,775415325,Existing Customer,30,M,5,High School,Married,Unknown,Blue,24,2,4,0,3762.8,248,1213.9,1.404,4383
179,735563453,Existing Customer,45,M,1,Doctorate,Divorced,$60K - $80K,Blue,44,3,1,1,3260.4,1134,3528.6,0.685,12138
180,868973642,Existing Customer,46,M,0,College,Married,Unknown,Blue,37,2,2,2,4766.8,1433,13208.3,1.3,9774
181,750873983,Existing Customer,65,M,5,High School,Married,Less than $40K,Blue,51,2,6,3,6616.8,1202,983.9,1.332,6258
182,790586459,Existing Customer,56,F,1,High School,Unknown,$40K - $60K,Blue,30,2,1,4,4246.6,793,20472.8,3.377,1986
183,888110296,Existing Customer,71,F,4,Unknown,Married,Less than $40K,Blue,27,6,2,2,7225.7,851,30541.1,3.383,8542
184,723637222,Existing Customer,61,F,3,Post-Graduate,Single,Less than $40K,Blue,44,6,4,6,2884.1,375,1149.2,0.479,3530
185,836702141,Existing Customer,36,M,2,High School,Unknown,Less than $40K,Blue,18,6,6,1,31867.9,723,2910.0,2.496,13194
186,795057280,Existing Customer,40,M,4,Graduate,Unknown,$80K - $120K,Blue,55,2,5,4,2351.6,1610,3761.0,0.271,11432
187,873667704,Existing Customer,44,F,2,Graduate,Divorced,$80K - $120K,Blue,47,3,2,0,22937.4,1913,10985.0,0.2,15896
188,797453338,Existing Customer,32,M,5,Uneducated,Married,$120K +,Blue,46,1,4,6,21026.1,201,6843.1,0.448,8576
189,702235000,Existing Customer,53,M,0,Post-Graduate,Married,$40K - $60K,Blue,50,5,4,6,7399.6,2492,7737.0,3.286,12599
190,723685747,Attrited Customer,68,F,0,Unknown,Single,$60K - $80K,Blue,17,1,1,5,11763.3,1942,10417.6,3.205,13918
191,872094412,Attrited Customer,30,M,0,Doctorate,Divorced,$60K - $80K,Blue,30,1,1,3,6020.3,2344,1378.8,0.74,8677
192,729859174,Existing Customer,30,F,2,Uneducated,Divorced,$60K - $80K,Blue,28,5,5,6,9392.8,1331,13037.1,0.634,13326
193,870320581,Existing Customer,55,M,4,Graduate,Unknown,Less than $40K,Blue,20,2,3,1,4769.1,492,9060.2,0.894,2743
194,746159303,Existing Customer,57,F,0,Unknown,Unknown,$80K - $120K,Blue,37,3,0,3,4304.7,337,6528.3,1.801,8627
195,846412954,Existing Customer,33,M,4,Uneducated,Unknown,$40K - $60K,Gold,44,3,3,4,8344.4,1968,15934.1,1.98,15060
196,882153864,Existing Customer,35,M,2,Post-Graduate,Single,Less than $40K,Blue,38,1,3,5,6953.3,1865,8935.0,0.831,6869
197,848639396,Existing Customer,63,F,5,Unknown,Single,$80K - $120K,Blue,34,5,6,2,8369.2,791,2076.9,2.597,14874
198,721200096,Existing Customer,72,M,4,Post-Graduate,Unknown,$80K - $120K,Blue,43,4,6,3,4140.4,1516,4431.7,1.122,4707
199,783375337,Existing Customer,57,M,5,High School,Divorced,Unknown,Blue,55,2,5,0,5095.7,2022,5269.1,3.143,10803
200,807868843,Existing Customer,73,F,2,College,Single,Unknown,Blue,22,1,6,1,2139.0,2364,897.6,2.267,9842
201,723234510,Existing Customer,53,M,2,High School,Divorced,$40K - $60K,Blue,24,3,2,0,1867.5,941,22151.5,1.54,1125
202,885933626,Existing Customer,42,F,3,Post-Graduate,Divorced,$40K - $60K,Blue,40,6,5,3,3776.4,2122,1463.4,2.707,13354
203,745968757,Existing Customer,56,M,2,Unknown,Married,$40K - $60K,Blue,18,6,5,5,2055.2,58,8868.8,2.799,12911
204,834278815,Existing Customer,33,M,2,Graduate,Unknown,Less than $40K,Gold,32,5,4,2,2314.5,2433,5439.8,1.059,18460
